fold	prob_1	prob_2	prob_3	prob_4	std_1	std_2	std_3	std_4	LakeCode	true_label	true_idx	pred_idx	pred_label	entropy	entropy_norm	aleatoric_entropy	aleatoric_entropy_norm	epistemic_mi	margin_p1_p2	totvar_1	epivar_1	alevar_1	totvar_2	epivar_2	alevar_2	totvar_3	epivar_3	alevar_3	totvar_4	epivar_4	alevar_4	feat_meanTP	feat_meanTN	feat_meanTurb	feat_meanWC	feat_meanCond	feat_thermal_class	feat_bottom_DO_min	feat_surface_DO_min	feat_bottom_pH_min	feat_surface_pH_max	feat_area_m2	feat_SECCIDEPTH	feat_NEWDEPTH	feat_tyyppi_Lv	feat_tyyppi_Kh	feat_tyyppi_Mh	feat_tyyppi_MRh	feat_tyyppi_MVh	feat_tyyppi_Ph	feat_tyyppi_Vh	feat_tyyppi_PoLa	feat_tyyppi_Rh	feat_tyyppi_Rk	feat_tyyppi_Rr	feat_tyyppi_Sh	feat_tyyppi_SVh
5	0,00014248	0,022836482	0,651068211	0,325952709	0,001388571	0,028295299	0,073678792	0,087338082	600261010	3	2	2	3	0,73236382	0,528288826	0,877939522	0,633299497	-0,145575702	0,325115502	0,002008647	1,92813E-06	0,002006719	0,06017701	0,000800624	0,059376385	0,249952152	0,005428564	0,244523585	0,24647148	0,007627941	0,238843545	24	490	2,5	80	1,9	2,972278876	2,694916667	8,5	6,397983333	6,6	1100028,877	1,367	2,333	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0,00120024	0,108058073	0,769986987	0,120754771	0,02204811	0,116200417	0,07603953	0,117203422	600411004	4	3	2	3	0,7050457	0,508582968	1,012201071	0,730148733	-0,307155371	0,649232209	0,015132569	0,000486119	0,014646449	0,177038372	0,013502536	0,163535833	0,249697715	0,00578201	0,243915707	0,181020483	0,013736642	0,167283848	20	485	2,7	145	2,6	2,86372481	2,934705556	8,1	6,399338889	6,7	2705971,762	1	2,55	1	0	0	0	0	0	0	0	0	0	0	0	0
5	0,140773311	0,771550119	0,08756718	0,000109356	0,154610291	0,130475089	0,048175283	0,002928477	600431006	2	1	1	2	0,690359175	0,497988879	0,795323372	0,573704542	-0,104964197	0,630776823	0,232932761	0,023904342	0,209028423	0,24490869	0,01702375	0,227884933	0,05415662	0,002320858	0,05183576	0,001827151	8,57598E-06	0,001818575	67	950	3,569823765	94,92792312	4,529160674	2,969015169	2,161588889	7,388277778	6,412233333	6,918288889	2747383,302	0,4	0,9	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0,000185383	0,024244631	0,659132123	0,316437811	0,002259858	0,041134287	0,07997971	0,10512013	600531003	4	3	2	3	0,730621636	0,527032105	0,885464966	0,638727958	-0,15484333	0,342694312	0,002705307	5,10696E-06	0,0027002	0,066938363	0,00169203	0,065246336	0,249935895	0,006396754	0,24353914	0,245531887	0,011050241	0,234481648	14	340	1,6	110	3,4	1	8	9,2	6,9	7,1	3733546,916	1,367	10,7	0	0	0	0	0	1	0	0	0	0	0	0	0
5	0,005363349	0,277485311	0,691857696	0,025293613	0,023857674	0,117594264	0,098847643	0,048924826	600641017	3	2	2	3	0,731645942	0,527770986	0,999743283	0,721162338	-0,268097341	0,414372385	0,038549915	0,000569189	0,037980728	0,245899469	0,013828412	0,232071057	0,247184739	0,009770857	0,237413883	0,071012214	0,002393638	0,068618573	25,40016898	800	2,8	210	2,9	2,982205662	2,697544444	7,1	6,389922222	6,5	3364414,696	0,571	0,5	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0,090700209	0,755541086	0,153360412	0,000398277	0,131696001	0,102876768	0,061150461	0,005288126	600651001	2	1	1	2	0,720155537	0,519482411	0,836153388	0,603157173	-0,115997851	0,60218066	0,203469276	0,017343836	0,186125442	0,235776201	0,010583629	0,225192577	0,083817638	0,003739379	0,080078259	0,004084417	2,79643E-05	0,004056452	60,5	870	6,725	162,5	2,175	2,959431521	2,077961111	7,7	6,382766667	6,8	1010811,331	0,757	1,671	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0,964891315	0,03510784	8,24834E-07	5,42703E-13	0,073131405	0,073079579	0,000151215	3,3061E-06	600661003	1	0	0	1	0,152084351	0,109705669	0,155530587	0,112191603	-0,003446236	0,929783463	0,04663736	0,005348202	0,041289158	0,046604924	0,005340625	0,041264299	3,56859E-05	2,2866E-08	3,5663E-05	2,90392E-07	1,09303E-11	2,90381E-07	53,5	1225	26,2	125	2,183333333	2,922909058	1,973827778	8	6,3988	7,8	4585688,585	0,609	2,733	0	0	1	0	0	0	0	0	0	0	0	0	0
5	1,78621E-05	0,002441338	0,350062579	0,647478282	0,001088899	0,015620911	0,100067601	0,109590314	600831004	4	3	3	4	0,663760662	0,478802108	0,656680584	0,473694911	0,007080078	0,297415704	0,000589469	1,1857E-06	0,000588283	0,013966611	0,000244013	0,013722598	0,21211049	0,010013524	0,202096969	0,217637762	0,012010037	0,205627725	14	305	1,11	42,5	1,15	1	8,8	8,9	6,6	6,6	1284214,74	1,833	3,433	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0,693043649	0,306332558	0,000623833	3,35104E-08	0,148926273	0,146419212	0,005173128	0,000271759	60131005	1	0	0	1	0,6211344	0,44805376	0,434548289	0,31346033	0,186586112	0,386711091	0,157607377	0,022179034	0,135428339	0,156347334	0,021438587	0,134908751	0,002010788	2,67613E-05	0,001984027	5,09516E-05	7,38531E-08	5,08777E-05	71	551,3363749	19	150	12,2	2,963493711	2,491988889	9,8	6,437811111	7,6	974862,8069	0,4	0,75	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0,002045942	0,126170665	0,809648693	0,062134687	0,00935352	0,069842406	0,053583831	0,049125969	611251001	4	3	2	3	0,617456079	0,445400411	0,99827373	0,72010228	-0,380817652	0,683477998	0,018490355	8,74883E-05	0,018402867	0,190905675	0,004877961	0,186027721	0,243773133	0,002871227	0,240901902	0,124214217	0,002413361	0,121800855	29	505	3,389006014	95,07405093	4,503577779	2,973446077	2,316616667	7,747444444	6,414555556	6,917277778	2200278,608	0,95	2,3	0	0	0	1	0	0	0	0	0	0	0	0	0
