LakeCode	actual	XG	XG1	XG2	XG3	XG4	RF	RF1	RF2	RF3	RF4	SVM	SVM1	SVM2	SVM3	SVM4	ANN	ANN1	ANN2	ANN3	ANN4	TAB	TAB1	TAB2	TAB3	TAB4	BNN	BNN1	BNN2	BNN3	BNN4	fold
599531001	4	3	1,69431E-05	0,004503677	0,579632253	0,415847128	4	0,05265175	0,07935628	0,424246324	0,443745646	3	0,003988574	0,041909132	0,494759143	0,459343152	4	0,000429111	0,039525434	0,429933965	0,530111492	4	5,26466E-05	0,027320517	0,476416747	0,49621009	3	0,000146239	0,007387111	0,55305022	0,439416468	1
599611003	3	3	0,000166923	0,134191905	0,824752089	0,040889083	3	0,069249868	0,162933153	0,647361037	0,120455942	3	0,00425798	0,0550219	0,710106229	0,230613891	3	0,005098834	0,160299078	0,56405586	0,270546287	3	0,004165617	0,280357258	0,535108099	0,180369026	3	0,000783868	0,062602438	0,789789498	0,146824211	1
599621001	3	3	2,02169E-05	0,021739189	0,75194671	0,226293883	3	0,054464178	0,084872914	0,712824465	0,147838443	3	0,004092037	0,053081634	0,704275397	0,238550932	3	0,001591644	0,092492498	0,618594706	0,287321091	3	0,003061111	0,18518465	0,631874969	0,17987927	3	0,00065869	0,055122297	0,771603286	0,172615662	1
599721008	3	3	7,00768E-05	0,042180554	0,773242237	0,184507132	3	0,057794196	0,101293338	0,667671118	0,173241348	3	0,004290762	0,05594028	0,727714661	0,212054297	3	0,001199461	0,137310401	0,678084314	0,183405891	3	0,000294221	0,100543691	0,692328187	0,206833901	3	0,000754866	0,054172873	0,783319652	0,161752522	1
599731001	3	3	2,48829E-05	0,011451133	0,573223222	0,415300762	3	0,056669639	0,092101799	0,572477737	0,278750825	3	0,004177945	0,044552528	0,712743989	0,238525537	3	0,000454741	0,067483515	0,675028741	0,257032961	3	7,901E-05	0,050488741	0,709753392	0,239678857	3	0,000464341	0,031821597	0,721323073	0,246391043	1
599771001	3	3	3,95245E-05	0,032129325	0,717885807	0,249945344	3	0,056245239	0,092671141	0,650578253	0,200505368	3	0,004045469	0,050274164	0,701672958	0,244007409	3	4,18423E-05	0,041129064	0,705826819	0,253002286	3	6,18707E-05	0,053029253	0,588785277	0,3581236	3	0,000457246	0,032793202	0,727168202	0,239581347	1
599781005	4	4	1,10875E-05	0,001894214	0,473943778	0,52415092	4	0,049408926	0,071581012	0,294717219	0,584292842	4	0,003881252	0,032055773	0,395458907	0,568604068	4	4,25885E-05	0,010835087	0,39189899	0,597223341	4	8,67377E-06	0,008910649	0,300480361	0,690600316	4	0,000113359	0,00467431	0,480081707	0,515130579	1
599911003	3	3	1,43461E-05	0,008243514	0,666663415	0,325078724	3	0,05500316	0,085670734	0,604403374	0,254922732	3	0,004008584	0,039602237	0,597928553	0,358460625	3	0,001919154	0,053054255	0,486618489	0,458408147	3	2,75422E-05	0,029205235	0,549360321	0,421406901	3	0,000247442	0,013744792	0,636551797	0,349456012	1
600251002	3	2	0,01340525	0,776545978	0,203582321	0,00646645	2	0,128714758	0,618789907	0,200541924	0,05195341	2	0,021845142	0,579058825	0,390535898	0,008560135	2	0,08727102	0,670264542	0,223423854	0,019040598	2	0,041041192	0,724293249	0,220944577	0,013720983	2	0,009450003	0,54581362	0,440321892	0,004414537	1
600571001	3	3	0,003464269	0,327905306	0,522807449	0,145822977	3	0,117103235	0,304378776	0,436933908	0,141584081	3	0,004243543	0,046150913	0,707783941	0,241821603	3	0,004497947	0,068886645	0,523933291	0,402682126	3	0,000781507	0,113706825	0,45900311	0,426508558	3	0,000498061	0,038234796	0,727685869	0,23358123	1
600671001	3	2	0,002866477	0,801873073	0,18810887	0,00715158	2	0,126179861	0,683574048	0,140777987	0,049468104	2	0,012142196	0,568166625	0,390528814	0,029162365	2	0,026258474	0,631798685	0,324922413	0,017020352	2	0,012406385	0,703987238	0,269286266	0,014320112	2	0,008527587	0,504032254	0,481375724	0,006064455	1
600671002	4	3	3,44864E-05	0,027929972	0,728194754	0,243840787	3	0,056695773	0,094549099	0,512020196	0,336734932	4	0,003907494	0,035482605	0,392844761	0,567765139	4	5,24297E-05	0,010549895	0,353573412	0,635824323	3	1,49408E-05	0,021430592	0,505793251	0,472761216	4	0,000108204	0,004845098	0,487125456	0,507921278	1
600831006	3	3	3,42285E-05	0,017427527	0,550090426	0,432447818	4	0,050198736	0,078859634	0,307971532	0,562970098	3	0,004002152	0,042028576	0,492270168	0,461699105	4	0,003046812	0,050760843	0,381290168	0,564902186	4	9,67869E-05	0,037718478	0,40835242	0,553832315	3	0,000120558	0,005918574	0,516987443	0,476973444	1
60111001	2	2	0,057260821	0,881977672	0,051995214	0,008766293	2	0,256321467	0,634937248	0,064929446	0,043811839	2	0,321645097	0,509894076	0,157697898	0,010762929	2	0,303106457	0,615862548	0,07819967	0,002831283	2	0,289483494	0,629238717	0,079087182	0,002190606	2	0,067823976	0,726498723	0,205247298	0,000429992	1
60131001	2	2	0,026350698	0,516248246	0,443323484	0,014077573	3	0,272980399	0,32542886	0,337772243	0,063818499	2	0,332772028	0,511311984	0,146486007	0,009429981	2	0,381934732	0,566518307	0,050498039	0,001048933	2	0,12449792	0,697013896	0,166441015	0,012047169	2	0,1433357	0,771864414	0,084775627	2,42446E-05	1
611331001	3	3	0,000130113	0,052540223	0,704911874	0,24241779	3	0,059865237	0,111934657	0,501242879	0,326957226	3	0,004154747	0,167026204	0,703061074	0,125757975	3	0,005111459	0,208285511	0,573803067	0,212800011	3	0,000223523	0,116538343	0,545322381	0,337915752	3	0,001336368	0,092894547	0,804079056	0,101690084	1
611411001	3	2	0,00100771	0,72835089	0,26395031	0,00669109	2	0,127086214	0,643684542	0,17852573	0,050703514	2	0,015711219	0,572900455	0,392669949	0,018718378	2	0,035067871	0,741720736	0,217593491	0,005617847	2	0,00798452	0,641151958	0,336818392	0,01404513	3	0,007883871	0,487393379	0,497227639	0,00749505	1
611551004	3	2	0,00054202	0,556736944	0,433666951	0,009054084	3	0,087368891	0,340127996	0,505684301	0,066818811	2	0,012330642	0,57196847	0,385960068	0,029740819	2	0,113291793	0,665606678	0,210267067	0,010834428	2	0,006794311	0,648802438	0,322052621	0,02235063	2	0,020276133	0,615897298	0,361003727	0,002822775	1
612521001	3	3	0,0004721	0,141372092	0,804172106	0,053983701	3	0,06223319	0,13567416	0,693870564	0,108222086	3	0,004375389	0,110546935	0,727645478	0,157432197	3	0,012258069	0,21973139	0,514342904	0,253667563	3	0,004466928	0,29347021	0,533021533	0,169041329	3	0,001174873	0,069007419	0,81685394	0,112963781	1
612541007	2	3	0,000388559	0,101310204	0,849140544	0,049160694	3	0,069317221	0,186481775	0,634536897	0,109664108	3	0,004419653	0,223055498	0,71864752	0,053877329	3	0,066690579	0,315918028	0,406738579	0,210652813	3	0,024045015	0,301472987	0,505883182	0,168598816	3	0,0042444	0,349389076	0,62479651	0,021570032	1
613431003	3	3	0,000188664	0,39025772	0,576934744	0,032618872	3	0,085914906	0,27568375	0,539973626	0,098427718	2	0,004215908	0,569568735	0,389141538	0,037073819	2	0,053230673	0,488695055	0,37951985	0,078554399	2	0,032236068	0,594781439	0,329645534	0,043336958	3	0,004973954	0,350150526	0,628955603	0,015919892	1
613821001	3	3	8,69674E-05	0,119789584	0,787058991	0,093064458	3	0,060428734	0,127110034	0,638530556	0,173930676	3	0,004466593	0,046868067	0,715882396	0,232782943	3	0,017439794	0,151541799	0,502692223	0,328326166	3	0,00132245	0,065342509	0,570801503	0,362533538	3	0,000843144	0,042677794	0,709804118	0,246674955	1
614331007	3	3	0,00017657	0,157344387	0,787205539	0,055273504	3	0,061575639	0,133106684	0,689842138	0,115475539	3	0,004285223	0,05735223	0,713197151	0,225165395	3	0,006015238	0,160002813	0,538243294	0,295738637	3	0,003834599	0,305757449	0,507606193	0,182801759	3	0,000901516	0,05667926	0,807017028	0,135402188	1
614681009	3	3	0,000117501	0,073069029	0,765395561	0,16141791	3	0,061124659	0,121687001	0,600744381	0,216443959	3	0,00413365	0,046843208	0,59478408	0,354239063	3	0,004925087	0,092213787	0,474241436	0,428619713	3	0,000615287	0,091345013	0,578660652	0,329379048	3	0,00031514	0,020981267	0,681317806	0,297385812	1
614721001	3	3	0,00030569	0,236640751	0,750003749	0,01304981	3	0,081325264	0,281494725	0,57695991	0,060220101	3	0,004382807	0,173983325	0,744800797	0,076833071	3	0,003660621	0,285664201	0,62324667	0,087428525	3	0,004255378	0,31015003	0,557267308	0,128327284	3	0,002370278	0,094728664	0,829264283	0,073636755	1
616641009	4	3	4,46677E-05	0,065494927	0,677989083	0,256471323	3	0,055870835	0,095347855	0,482824617	0,365956692	4	0,004000239	0,043174261	0,392346552	0,560478948	4	0,002228835	0,060155746	0,399491429	0,538124025	3	0,000234495	0,071957142	0,513347332	0,414461031	3	0,000264059	0,015342151	0,615987241	0,368406504	1
616721017	3	3	0,002248258	0,234522107	0,567862549	0,195367086	3	0,098149364	0,28695382	0,466732214	0,148164601	3	0,004332519	0,055646132	0,720537384	0,219483964	3	0,016164092	0,159886941	0,514110148	0,309838772	3	0,002199907	0,133239141	0,542782356	0,321778596	3	0,000878503	0,072235323	0,794887781	0,13199833	1
616811001	3	3	0,001058286	0,046107383	0,726827372	0,226006959	3	0,063345908	0,117790475	0,538610491	0,280253126	3	0,004239204	0,172391366	0,71099699	0,11237244	3	0,01009699	0,30594489	0,546213806	0,137744337	3	0,001458199	0,228174298	0,588327297	0,182040205	3	0,001611768	0,111139081	0,801249504	0,08599963	1
617321001	4	4	5,34415E-05	0,008075285	0,4761473	0,515723974	4	0,047952945	0,070878132	0,186191377	0,694977546	4	0,003966366	0,03679989	0,392863233	0,566370512	4	0,001145992	0,028024305	0,315180033	0,655649722	4	1,81699E-05	0,016830859	0,364365776	0,618785195	4	7,33012E-05	0,002948896	0,438157022	0,558820844	1
617731010	4	3	1,19147E-05	0,003575725	0,56357657	0,43283579	4	0,051430105	0,078945709	0,370254042	0,499370144	4	0,003905962	0,031626771	0,395025032	0,569442236	4	0,000179003	0,009984275	0,319519043	0,67031765	4	2,93973E-05	0,010357386	0,334819659	0,654793558	4	9,34163E-05	0,003593383	0,452699095	0,543614089	1
640841010	3	3	2,37266E-05	0,01212691	0,563188212	0,424661152	4	0,054823307	0,08842935	0,408803799	0,447943544	3	0,004055048	0,038548413	0,596195593	0,361200946	4	0,000897892	0,034010261	0,45176816	0,513323724	4	0,00030089	0,060052169	0,424599402	0,515047539	3	0,00014361	0,007391752	0,543342769	0,449121863	1
651791005	3	3	2,054E-05	0,010972167	0,702854695	0,286152598	3	0,055682745	0,088702937	0,589400933	0,266213386	3	0,004142451	0,047159907	0,705763419	0,242934223	3	0,001462893	0,076648138	0,568807721	0,353081226	3	0,000604277	0,045313901	0,525004972	0,42907685	3	0,00027222	0,017023442	0,661958635	0,320745677	1
652171001	2	2	0,000709696	0,649398314	0,332846746	0,017045243	2	0,105467289	0,520484591	0,314549623	0,059498498	2	0,004506517	0,574863808	0,384776289	0,035853387	2	0,071571089	0,595810115	0,290528983	0,042089757	2	0,024423444	0,718707778	0,239934793	0,016933985	2	0,009826525	0,564446509	0,421418756	0,00430818	1
652441016	4	4	8,73714E-06	0,002504701	0,080656467	0,916830095	4	0,045291506	0,062251609	0,041052934	0,851403951	4	0,003894912	0,029126066	0,393560361	0,57341866	4	4,21454E-05	0,000494365	0,077008262	0,922455251	4	2,92095E-06	0,001611774	0,190160959	0,808224347	4	3,82158E-06	6,20218E-05	0,138684615	0,861249506	1
652661005	3	3	0,000372908	0,045171977	0,841220501	0,113234613	3	0,058005666	0,1068616	0,712297454	0,122835281	3	0,004143886	0,052991528	0,703467365	0,239397221	3	0,002902744	0,09565293	0,519361734	0,382082552	3	0,002293138	0,174590563	0,546399581	0,276716718	3	0,000545829	0,033287592	0,765180528	0,200986102	1
652712001	2	3	0,000174876	0,101841999	0,783739892	0,114243232	3	0,059163111	0,119185803	0,677045038	0,144606048	3	0,004433491	0,157987701	0,736640796	0,100938012	3	0,022980489	0,228681922	0,53072989	0,217607662	3	0,012845742	0,390008597	0,487085735	0,110059927	3	0,002459752	0,184206754	0,761183977	0,052149568	1
653121001	2	3	0,000212652	0,157025959	0,777647997	0,065113392	3	0,064515097	0,147024644	0,659576659	0,1288836	3	0,004461888	0,16415881	0,73571736	0,095661942	3	0,007796469	0,255085468	0,594635189	0,142482862	3	0,003005258	0,213299852	0,569678617	0,214016273	3	0,001886127	0,120350063	0,79899776	0,078766026	1
653141001	3	3	2,33329E-05	0,023592932	0,800243145	0,17614059	3	0,055757149	0,092710906	0,698147419	0,153384525	3	0,004023047	0,039264718	0,594724993	0,361987242	4	0,000562746	0,029736409	0,479224652	0,490476161	3	0,000212059	0,032474686	0,496755762	0,470557493	3	0,000225392	0,013601923	0,611664236	0,37450847	1
653221001	3	3	6,44999E-05	0,019327381	0,845193232	0,135414887	3	0,055548026	0,090577554	0,719936514	0,133937906	3	0,004112157	0,054128698	0,705591409	0,236167736	3	0,001494474	0,109706186	0,602898896	0,285900503	3	0,002201528	0,161615673	0,548507808	0,287674991	3	0,000888753	0,058564696	0,804324687	0,136221766	1
653961012	3	3	7,54947E-05	0,036287517	0,759568575	0,204068413	3	0,057208506	0,101865585	0,580228252	0,260697657	4	0,003979518	0,037296711	0,391839161	0,566884611	4	0,001258487	0,022056114	0,27080828	0,705877125	4	4,56667E-05	0,013976938	0,321371238	0,664606158	4	6,30754E-05	0,002277026	0,408772647	0,588887215	1
