LakeCode	meanTP	minmaxTP	maxTP	meanTN	minmaxTN	maxTN	meanTurb	minmaxTurb	maxTurb	meanWC	minmaxWC	maxWC	meanCond	minmaxCond	maxCond	meanWT	minmaxWT	maxWT	surface_mean_WT	bottom_mean_WT	deltaT	abs_deltaT	thermal_class	n_surface	n_bottom	bottom_DO_mean	bottom_DO_min	surface_DO_mean	surface_DO_min	bottom_pH_min	bottom_pH_mean	bottom_pH_max	surface_pH_min	surface_pH_mean	surface_pH_max	expert	area_m2	SECCIDEPTH	NEWDEPTH	CoordYKJ_East	tyyppi_Lv	tyyppi_Kh	tyyppi_Mh	tyyppi_MRh	tyyppi_MVh	tyyppi_Ph	tyyppi_Vh	tyyppi_PoLa	tyyppi_Rh	tyyppi_Rk	tyyppi_Rr	tyyppi_Sh	tyyppi_SVh	minmaxTCond	ecologystatus
440951001	23.5	24.0	28.0	561.6666666666666	570.0	620.0	2.15	2.4	3.1	111.5	111.5	140.0	3.8	3.8	3.8	17.225	17.75	19.8	17.733333333333334	17.366666666666667	0.3666666666666671	0.3666666666666671	1.0	3.0	3.0	8.033333333333333	6.7	8.433333333333334	7.9	6.6	6.6	6.6	6.7	6.7	6.7	0.0	12136438.22	1.308	5.608	3308622.4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8	3
440961001	45.5	45.5	48.0	670.0	670.0	670.0	1.7000000000000002	1.7000000000000002	1.8	117.5	117.5	160.0	5.4	5.4	5.5	14.8	14.8	15.8	14.8	14.8	0.0	0.0	1.0	2.0	2.0	9.1	9.0	9.1	9.0	6.8	6.8	6.8	6.8	6.8	6.8	0.0	2584710.562	0.875	1.367	3315269.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4	3
440961004	58.5	60.0	62.0	1125.0	1125.0	1400.0	6.425000000000001	6.6	8.8	185.0	190.0	200.0	3.8325	4.0	4.0	17.2	19.0	20.1	17.474999999999998	17.474999999999998	0.0	0.0	1.0	2.5	2.5	7.712499999999999	6.7	7.712499999999999	6.7	6.4	6.400000000000001	6.4	6.4	6.400000000000001	6.4	0.0	3610590.055	0.69	1.225	3312749.333333333	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2
440981001	58.0	58.0	58.0	870.0	870.0	870.0	6.05	6.05	7.5	180.0	180.0	200.0	4.6	4.6	4.7	17.9	17.9	19.7	17.9	12.494863248359191	6.279587691422275	6.134387008632846	2.9788741655371846	2.0	2.2508333333333326	5.23106528248559	2.4263944444444445	8.35	7.7	6.402111111111122	6.482731944444443	6.561788888888878	6.7	6.7	6.7	0.0	3460988.891	0.763	1.6	3308005.25	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	2
440981003	78.66666666666667	79.0	100.0	1200.0	1200.0	1200.0	6.288499999999999	7.475	9.7	275.0	300.0	300.0	5.952000000000001	6.0	6.8	18.11	19.32	21.7	18.191666666666663	17.683333333333334	0.5083333333333337	0.5083333333333337	1.0	5.0	3.0	8.4	5.9	8.295833333333333	5.9	6.1	6.3	6.5	6.1	6.3	6.5	0.0	853763.4404000001	0.595	1.28	3311666.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2
44111001	16.011917562724012	40.5	67.0	380.4336917562724	570.0	570.0	2.186279761904762	5.9	5.9	99.9607142857143	220.0	220.0	2.320854838709677	4.325	6.2	17.604050179211466	21.45	24.0	17.551843869731798	11.82765756302521	5.289984062590553	5.289984062590553	2.0186915887850465	5.233333333333333	17.5	7.367402437306284	0.2	8.906725270369742	7.6	5.54	6.356785714285715	6.82	5.85	6.685472222222222	7.3	0.0	223868596.52875003	1.981	23.668	3627940.0093457946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.325	3
44111008	7.0	9.0	9.0	288.33333333333337	305.0	320.0	0.7816666666666667	0.79	0.87	17.5	20.0	20.0	6.466666666666667	6.550000000000001	6.7	19.933333333333334	21.5	22.1	19.45	6.0	13.45	13.45	3.0	4.0	3.0	4.966666666666667	1.7	9.25	8.9	6.85	6.855	6.86	7.6	7.723333333333334	7.83	0.0	599430.2019	4.417	20.629	3658350.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.550000000000001	3
44111102	8.0	8.0	8.0	380.0	380.0	380.0	1.1	1.1	1.1	80.0	80.0	80.0	2.5	2.5	2.5	17.4	17.4	17.4	17.4	7.7	9.7	9.7	3.0	1.0	1.0	5.0	5.0	8.4	8.4	6.12	6.12	6.12	6.7	6.7	6.7	1.0	796225.1032	1.75	9.5	3624174.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	3
44111103	9.0	9.0	9.0	390.0	390.0	390.0	1.2	1.2	1.2	50.0	50.0	50.0	3.7	3.7	3.7	17.8	17.8	17.8	17.8	5.3	12.5	12.5	3.0	1.0	1.0	8.4	8.4	9.0	9.0	6.65	6.65	6.65	7.26	7.26	7.26	0.0	1021905.601	3.6	21.607	3625438.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	3
44111118	13.0	13.0	13.0	400.0	410.0	410.0	2.980612099625201	3.8373777777777778	4.404166666666669	93.49817482363318	99.28370370370371	106.58611111111111	4.488457834088286	4.6282633333333285	4.73233888888889	17.77627956960155	19.099506481481484	20.81161111111113	17.759054286748835	11.515812213742946	6.424151650027475	6.395914117174956	2.9721474192763253	3.5157357549857555	6.108373015873017	5.4919447773997225	2.023944444444445	8.549968143857887	7.888666666666671	6.4139888888889	6.4882703703703815	6.559366666666655	6.77927222222221	6.851944907407408	6.91548333333335	0.0	1223146.117	1.962	13.175	3647639.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.629319259259254	3
44111135	53.0	55.0	55.0	940.0	980.0	980.0	3.612930864197531	4.220488888888892	4.512944444444449	95.6567522045856	103.0772037037037	113.28888888888888	4.577799074074074	4.6302177777777755	4.730583333333341	17.466666666666665	19.7	19.7	16.4	13.35	3.049999999999999	3.049999999999999	2.0	2.0	2.0	4.25	0.2	6.6	6.6	6.41492777777779	6.495722777777781	6.568522222222209	6.772261111111106	6.8428063271604955	6.917861111111124	0.0	636661.25	0.92	4.94	3655990.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63139259259259	2
44121001	6.0	6.0	6.0	275.0	295.0	310.0	1.225	1.2999999999999998	1.4	26.25	27.5	30.0	4.95	4.95	5.0	16.333333333333332	17.9	18.6	16.0	7.82	8.18	8.18	3.0	5.0	10.0	4.411111111111111	0.8	8.86	8.4	6.8	7.05	7.3	7.4	7.45	7.5	0.0	1465356.922	3.475	18.875	3649940.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.95	3
44121003	3.0	3.0	3.0	295.0	320.0	370.0	0.93	0.975	1.1	27.5	30.0	30.0	4.025	4.1	4.2	16.183333333333334	17.85	18.5	15.82	6.36	9.459999999999996	9.459999999999996	3.0	5.0	10.0	8.100000000000001	6.7	9.16	8.4	6.8	6.949999999999999	7.1	7.4	7.4	7.4	0.0	8843298.031	3.85	33.5	3648624.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	4
44121014	8.079166666666667	9.733333333333333	14.0	408.3333333333333	456.6666666666667	530.0	0.7281666666666666	0.9116666666666668	1.1	77.25	88.33333333333333	110.0	2.8966666666666665	3.0666666666666664	3.3	17.673333333333332	21.35	25.5	17.682758620689654	7.921818181818182	9.760940438871472	9.760940438871472	3.0	29.0	55.0	6.169090909090909	1.7	8.848275862068967	8.2	6.4	6.640000000000001	6.8	6.8	7.0200000000000005	7.1	0.0	1649750.311	2.723	19.844	3645850.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0666666666666664	4
44121025	4.25	4.5	5.0	311.6666666666667	346.6666666666667	400.0	0.6266666666666666	0.8033333333333333	1.0	23.33333333333333	25.0	25.0	4.216666666666667	4.3	4.5	18.98333333333333	20.866666666666667	22.6	18.98333333333333	5.433333333333334	13.55	13.55	3.0	6.0	12.0	7.766666666666667	5.5	9.433333333333334	8.8	6.67	6.725	6.78	7.48	7.485	7.49	0.0	1562100.231	4.923	27.067	3641857.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3	4
44131008	7.5	8.0	8.0	510.0	560.0	560.0	1.245	1.5	1.5	75.0	80.0	80.0	3.65	3.7	3.7	13.55	13.7	13.7	13.55	5.5	8.05	8.05	3.0	2.0	2.0	2.75	0.2	8.7	8.0	6.49	6.54	6.59	6.9	6.905	6.91	0.0	2561321.09	2.236	14.15	3635061.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	3
44141018	22.0	23.0	23.0	505.0	540.0	540.0	1.7	1.9	1.9	150.0	170.0	170.0	3.1	3.2	3.2	15.1	18.2	18.2	15.1	6.5	8.6	8.6	3.0	2.0	2.0	0.5	0.2	8.649999999999999	8.1	6.3	6.3	6.3	6.6	6.75	6.9	0.0	568867.306	1.643	16.4	3628234.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	3
44151001	42.0	42.0	42.0	515.0	550.0	550.0	6.599999999999999	6.6	6.6	140.0	160.0	160.0	3.35	3.5	3.5	14.699999999999998	15.0	15.0	14.699999999999998	14.449999999999998	0.25	0.25	1.0	2.0	2.0	8.1	8.1	8.55	8.3	6.6	6.650000000000001	6.7	6.6	6.650000000000001	6.7	0.0	2715095.518	1.0	7.125	3604558.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.5	2
44161004	25.0	25.0	25.0	585.0	640.0	640.0	2.05	2.1	2.1	205.0	230.0	230.0	3.2	4.2	4.2	13.9	14.5	14.5	13.9	7.949999999999999	5.950000000000001	5.950000000000001	3.0	2.0	2.0	4.25	0.7	7.800000000000001	7.3	6.0	6.15	6.3	5.4	5.75	6.1	0.0	1865776.868	1.28	19.0	3599425.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.2	3
