Site_Id,LakeCode,ekoltasoid,palavpdvhs3_ha
39292,712221005,4.0,"179,06"
39293,712321001,4.0,"209,71"
39294,712321001,4.0,"209,71"
39295,712321001,4.0,"209,71"
39296,712321001,4.0,"209,71"
39297,712321001,4.0,"209,71"
39298,712321001,4.0,"209,71"
39299,712341015,,
39302,712411001,3.0,"5134,86"
39303,712411089,,
39304,712411001,3.0,"5134,86"
39305,712411001,3.0,"5134,86"
39306,712411001,3.0,"5134,86"
39307,712411001,3.0,"5134,86"
39308,712411065,,
39309,712411064,,
39310,712411001,3.0,"5134,86"
39311,712421001,4.0,"439,2"
39312,nan,,
39313,nan,,
39314,712441003,,
39315,712441002,,
39316,712411046,,
39317,712411047,,
39318,712441008,4.0,"63,39"
39319,nan,,
39320,712601002,4.0,"1070,13"
39322,713111032,4.0,"89,04"
39323,713111032,4.0,"89,04"
39324,713111032,4.0,"89,04"
39326,nan,,
39332,714161001,1.0,"665,06"
39335,714161001,1.0,"665,06"
39349,714141002,4.0,73
39355,714141001,4.0,"93,8"
39356,714111014,,
39358,714111014,,
39359,714111014,,
39362,714111013,4.0,"66,71"
39363,714111013,4.0,"66,71"
39364,714111012,,
39366,714111012,,
39367,714111013,4.0,"66,71"
39368,714111013,4.0,"66,71"
39369,714111013,4.0,"66,71"
39370,714111013,4.0,"66,71"
39371,714111013,4.0,"66,71"
39372,714111013,4.0,"66,71"
39384,714421002,,
39385,714411001,4.0,"345,66"
39433,715951002,,
39437,715951001,,
39440,716101001,3.0,"2251,32"
39441,716101001,3.0,"2251,32"
39442,716101001,3.0,"2251,32"
39444,711131003,4.0,"87,29"
39445,716311001,4.0,"1009,86"
39446,716311001,4.0,"1009,86"
39447,716311001,4.0,"1009,86"
39449,717121002,4.0,"76,42"
39450,717121002,4.0,"76,42"
39451,717121002,4.0,"76,42"
39452,717121001,4.0,"74,41"
39453,717121002,4.0,"76,42"
39454,717121001,4.0,"74,41"
39455,717121001,4.0,"74,41"
39456,717121003,,
39457,717121006,,
39460,717221007,4.0,"57,61"
39462,717211004,4.0,"73,64"
39464,718121003,,
39467,718211002,,
39469,719521005,,
39473,719141004,,
39474,719131016,,
39475,719111021,,
39477,719121018,3.0,"109,96"
39478,719121018,3.0,"109,96"
39479,719111021,,
39480,719121018,3.0,"109,96"
39481,719111021,,
39484,719521001,,
39485,719631007,,
39486,719631001,4.0,"652,47"
39487,719631001,4.0,"652,47"
39488,719631001,4.0,"652,47"
39490,719631001,4.0,"652,47"
39491,719631001,4.0,"652,47"
39495,719871029,,
39496,719871029,,
39497,719881003,4.0,"52,68"
39498,719871015,,
39502,720271002,,
39507,nan,,
39526,nan,,
39527,nan,,
39529,730131001,,
39530,730131001,,
39531,730151010,1.0,"109,35"
39532,730151002,,
39533,730151005,,
39534,730151010,1.0,"109,35"
39535,730151001,,
39538,730151017,,
39539,730151017,,
39540,730151001,,
39541,730151017,,
39543,730151013,,
39545,730151014,,
39546,730141016,3.0,"306,97"
39549,730141013,4.0,"67,54"
39550,730251001,3.0,"23635,2"
39550,730251001,3.0,"95,59"
39551,730251001,3.0,"23635,2"
39551,730251001,3.0,"95,59"
39552,730251001,3.0,"23635,2"
39552,730251001,3.0,"95,59"
39553,730271007,,
39554,730271010,,
39555,730271011,,
39556,730271032,,
39557,730271032,,
39558,730251001,3.0,"23635,2"
39558,730251001,3.0,"95,59"
39560,730251001,3.0,"23635,2"
39560,730251001,3.0,"95,59"
39561,730251001,3.0,"23635,2"
39561,730251001,3.0,"95,59"
39562,730251001,3.0,"23635,2"
39562,730251001,3.0,"95,59"
39564,730251001,3.0,"23635,2"
39564,730251001,3.0,"95,59"
39565,730251001,3.0,"23635,2"
39565,730251001,3.0,"95,59"
39566,730251001,3.0,"23635,2"
39566,730251001,3.0,"95,59"
39567,730251001,3.0,"23635,2"
39567,730251001,3.0,"95,59"
39568,730251001,3.0,"23635,2"
39568,730251001,3.0,"95,59"
39569,730251001,3.0,"23635,2"
39569,730251001,3.0,"95,59"
39570,730251001,3.0,"23635,2"
39570,730251001,3.0,"95,59"
39571,730251001,3.0,"23635,2"
39571,730251001,3.0,"95,59"
39572,730251001,3.0,"23635,2"
39572,730251001,3.0,"95,59"
39574,730251001,3.0,"23635,2"
39574,730251001,3.0,"95,59"
39575,730251001,3.0,"23635,2"
39575,730251001,3.0,"95,59"
